Gender,YOB,Status,Type,Brand,Model,OS,Vendor,Week,Revenue
MALE,1985,ACTIVE,Prepaid,SAMSUNG,GALAXY J1 ACE (SM-J111F),Android,Google,22,0.51
MALE,1958,ACTIVE,Prepaid,LG,W1500,LG OS,LG,22,0.79
MALE,1976,ACTIVE,Prepaid,SAMSUNG,METRO SM-B350ED,Samsung OS,Samsung,22,1.11
MALE,1996,ACTIVE,Prepaid,HIMAX,"H20, H21, H111, H222",Android,Google,22,1.69
FEMALE,1960,ACTIVE,Prepaid,SAMSUNG,GALAXY ACE NXT (SM-G313HU),Android,Google,22,1.89
MALE,1994,ACTIVE,Prepaid,SAMSUNG,GURU MUSIC II (SM-B310E),Samsung OS,Samsung,22,2.42
MALE,1992,ACTIVE,Prepaid,NOKIA,3 DS (TA-1032),Android,Google,22,2.59
MALE,1963,ACTIVE,Prepaid,SYMPHONY,"B9, FT34, B11I, H50",Proprietary OS,Proprietary OS,22,2.86
MALE,1978,ACTIVE,Postpaid,MICROMAX,X088,Proprietary OS,Proprietary OS,22,2.96
MALE,1981,ACTIVE,Prepaid,NOKIA,3310 DS (TA-1030),Proprietary OS,Proprietary OS,22,3.14
FEMALE,1997,ACTIVE,Prepaid,ITEL,IT5020,Proprietary OS,Proprietary OS,22,3.34
MALE,1980,ACTIVE,Prepaid,HUAWEI,Y5 (2017),Android,Google,22,3.35
MALE,1990,ACTIVE,Prepaid,SAMSUNG,GALAXY J1 (SM-J110HDD),Android,Google,22,3.94
MALE,1977,ACTIVE,Prepaid,XIAOMI,REDMI NOTE 5 (MEE7S),Android,Google,22,3.94
MALE,1987,ACTIVE,Prepaid,MAXIMUS,M80,Proprietary OS,Proprietary OS,22,3.94
MALE,1986,ACTIVE,Prepaid,SAMSUNG,GALAXY A7 2016 (SM-A710FD DS),Android,Google,22,4.13
MALE,1976,ACTIVE,Prepaid,NOKIA,3310 DS (TA-1030),Proprietary OS,Proprietary OS,22,4.31
MALE,1991,ACTIVE,Prepaid,HUAWEI,Y6 II DUAL SIM (CAM-L21),Android,Google,22,4.55
MALE,1993,ACTIVE,Prepaid,SAMSUNG,GALAXY J2 DUOS (SM-J200G DD),Android,Google,22,4.77
MALE,1968,ACTIVE,Prepaid,APPLE,IPHONE 4 (A1332),iOS,Apple,22,4.87
MALE,1994,ACTIVE,Prepaid,SAMSUNG,GURU MUSIC II (SM-B310E),Samsung OS,Samsung,22,5.16
MALE,1988,ACTIVE,Prepaid,SAMSUNG,GALAXY J5 PRIME DUOS (SM-G570F DS),Android,Google,22,5.40
MALE,1993,ACTIVE,Prepaid,AAMRA,WE B2,Android,Google,22,5.52
MALE,1996,ACTIVE,Prepaid,SAMSUNG,GALAXY C7 (SM-C7000),Android,Google,22,5.56
MALE,1999,ACTIVE,Prepaid,SAMSUNG,GALAXY J5 PRIME DUOS (SM-G570Y DS),Android,Google,22,5.70
MALE,1991,ACTIVE,Prepaid,SAMSUNG,GALAXY GRAND PRIME VE DUOS LTE (SM-G531H DD),Android,Google,22,6.07
MALE,1977,ACTIVE,Prepaid,SAMSUNG,GALAXY J7 (SM-J701F DS),Android,Google,22,6.39
MALE,1994,ACTIVE,Prepaid,SAMSUNG,GALAXY A7 LTE-A (SM-A700FD),Android,Google,22,6.44
MALE,1963,ACTIVE,Prepaid,SAMSUNG,GALAXY J2 2016 (SM-J210F),Android,Google,22,6.69
MALE,1984,ACTIVE,Prepaid,SAMSUNG,GURU MUSIC II (SM-B310E),Samsung OS,Samsung,22,7.15
MALE,1987,ACTIVE,Prepaid,XIAOMI,REDMI NOTE 4 (2016102),Android,Google,22,7.18
MALE,1990,ACTIVE,Prepaid,SAMSUNG,GALAXY S DUOS II (GT-S7582),Android,Google,22,7.28
MALE,1993,ACTIVE,Prepaid,SAMSUNG,GALAXY ON7 DUOS TD-LTE (SM-G610F),Android,Google,22,7.39
MALE,1981,ACTIVE,Prepaid,SYMPHONY,I10,Android,Google,22,7.57
MALE,1993,ACTIVE,Prepaid,HUAWEI,P20 LITE (ANE-LX2),Android,Google,22,8.35
MALE,1989,ACTIVE,Prepaid,OPPO,A37 (A37FW),Android,Google,22,8.49
MALE,1993,ACTIVE,Prepaid,WINMAX,"WX82 WX83,WX90,WX91",Android,Google,22,8.91
FEMALE,1989,ACTIVE,Prepaid,LAVA,DISCOVER NEO,SPREADTRUM OS,SPREADTRUM,22,9.24
MALE,1993,ACTIVE,Prepaid,SAMSUNG,GURU MUSIC II (SM-B310E),Samsung OS,Samsung,22,9.42
MALE,1982,ACTIVE,Prepaid,HUAWEI,Y6II (CAM-L21),Android,Google,22,10.14
MALE,1981,ACTIVE,Prepaid,LAVA,IRIS 870,Android,Google,22,10.21
MALE,1994,ACTIVE,Prepaid,SAMSUNG,GALAXY J2 DUOS (SM-J200H),Android,Google,22,10.32
