brand_name,model_name,os_name,os_vendor
SAMSUNG,GALAXY J1 ACE (SM-J111F),Android,Google
LG,W1500,LG OS,LG
SAMSUNG,METRO SM-B350ED,Samsung OS,Samsung
HIMAX,"H20, H21, H111, H222",Android,Google
SAMSUNG,GALAXY ACE NXT (SM-G313HU),Android,Google
SAMSUNG,GURU MUSIC II (SM-B310E),Samsung OS,Samsung
NOKIA,3 DS (TA-1032),Android,Google
SYMPHONY,"B9, FT34, B11I, H50",Proprietary OS,Proprietary OS
MICROMAX,X088,Proprietary OS,Proprietary OS
NOKIA,3310 DS (TA-1030),Proprietary OS,Proprietary OS
ITEL,IT5020,Proprietary OS,Proprietary OS
HUAWEI,Y5 (2017),Android,Google
SAMSUNG,GALAXY J1 (SM-J110HDD),Android,Google
XIAOMI,REDMI NOTE 5 (MEE7S),Android,Google
MAXIMUS,M80,Proprietary OS,Proprietary OS
SAMSUNG,GALAXY A7 2016 (SM-A710FD DS),Android,Google
NOKIA,3310 DS (TA-1030),Proprietary OS,Proprietary OS
HUAWEI,Y6 II DUAL SIM (CAM-L21),Android,Google
SAMSUNG,GALAXY J2 DUOS (SM-J200G DD),Android,Google
APPLE,IPHONE 4 (A1332),iOS,Apple
SAMSUNG,GURU MUSIC II (SM-B310E),Samsung OS,Samsung
SAMSUNG,GALAXY J5 PRIME DUOS (SM-G570F DS),Android,Google
AAMRA,WE B2,Android,Google
SAMSUNG,GALAXY C7 (SM-C7000),Android,Google
SAMSUNG,GALAXY J5 PRIME DUOS (SM-G570Y DS),Android,Google
SAMSUNG,GALAXY GRAND PRIME VE DUOS LTE (SM-G531H DD),Android,Google
SAMSUNG,GALAXY J7 (SM-J701F DS),Android,Google
SAMSUNG,GALAXY A7 LTE-A (SM-A700FD),Android,Google
SAMSUNG,GALAXY J2 2016 (SM-J210F),Android,Google
SAMSUNG,GURU MUSIC II (SM-B310E),Samsung OS,Samsung
XIAOMI,REDMI NOTE 4 (2016102),Android,Google
SAMSUNG,GALAXY S DUOS II (GT-S7582),Android,Google
SAMSUNG,GALAXY ON7 DUOS TD-LTE (SM-G610F),Android,Google
SYMPHONY,I10,Android,Google
HUAWEI,P20 LITE (ANE-LX2),Android,Google
OPPO,A37 (A37FW),Android,Google
WINMAX,"WX82 WX83,WX90,WX91",Android,Google
